,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
218,China,Jiangsu,651,633,0,33.0000001,119.9999999
219,China,Beijing,587,443,8,39.906217,116.3912757
220,China,Chongqing,579,570,6,29.5585712,106.5492822
221,China,Sichuan,559,540,3,30.5000001,102.4999999
222,China,Shanghai,536,383,6,31.2322758,121.4692071
223,China,Heilongjiang,524,469,13,48.0000047,127.999992
224,China,Fujian,350,305,1,26.5450001,117.842778
225,China,Hebei,327,310,6,39.0000001,116.0
226,China,Shaanxi,256,246,3,36.0,109.0
227,China,Guangxi,254,252,2,24.0,109.0
228,China,Yunnan,184,172,2,25.0,102.0
229,China,Tianjin,180,144,3,39.1235635,117.1980785
230,China,Hainan,168,162,6,19.2000001,109.5999999
231,China,Guizhou,147,144,2,27.0,107.0
232,China,Liaoning,142,128,2,40.9975197,122.9955469
233,China,Gansu,139,132,2,38.0000001,101.9999999
234,China,Shanxi,138,133,0,37.0,112.0
235,China,Inner Mongolia,118,74,1,43.2443242,114.3251664
236,China,Jilin,98,92,1,42.9995032,125.9816054
237,China,Xinjiang,76,73,3,41.7574769,87.16738423046897
238,China,Ningxia,75,75,0,37.0000001,105.9999999
239,China,Qinghai,18,18,0,35.40709525,95.95211573241954
240,China,Tibet,1,1,0,31.894343149999997,87.07813712706509
241,Croatia,City of Zagreb,457,236,16,45.79151065,15.98246722398631
242,Croatia,Split-Dalmatia County,452,117,13,43.07361015,16.027989049469006
243,Croatia,Krapina-Zagorje County,128,5,1,46.0983218,15.9377404
244,Croatia,Zagreb County,125,42,0,45.7017634,16.2347136
245,Croatia,Osijek-Baranja County,112,52,7,45.541111,18.4384615
246,Croatia,Dubrovnik-Neretva County,105,27,6,42.7580845,17.3352326
247,Croatia,Istria County,90,69,2,45.2098898,13.6822959
248,Croatia,Primorje-Gorski Kotar County,82,34,1,45.4225937,14.6172032
249,Croatia,Zadar County,82,31,1,44.2232882,15.3739652
250,Croatia,Šibenik-Knin County,80,28,1,43.8410419,16.022628
251,Croatia,Koprivnica-Križevci County,49,1,0,46.12020575,16.779842997977994
252,Croatia,Varaždin County,43,30,0,46.2572752,16.2900851
